SMILES,sars,mers,cluster
O=C(CN1CC2=CC=C(Cl)C=C2[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C1)NCC1=CC=CC(Cl)=C1 |&1:12|,7.02,5.52,1
CC(C)(NC(=O)CN1CC2=CC=C(Cl)C=C2[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C1)C1=CC=CC=C1 |&1:16|,6.74,5.22,1
CC(=O)NC1=CC=C(NC(=O)CN2CC3=CC=C(Cl)C=C3[C@H](C(=O)NC3=CN=CC4=CC=CC=C34)C2)C=C1 |&1:21|,7.47,5.27,1
CC(C)(C)N(CC1=CC=CC=C1)C(=O)CN1CC2=CC=C(Cl)C=C2[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C1 |&1:24|,6.0,4.99,1
CC(=O)NC1=CC=C(N(C)C(=O)CN2CC3=CC=C(Cl)C=C3[C@H](C(=O)NC3=CN=CC4=CC=CC=C34)C2)C=C1 |&1:22|,5.83,5.26,1
O=C(CN1CC2=CC=C(Cl)C=C2[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C1)NCC1=CC=C(CCO)C=C1 |&1:12|,7.1,5.32,1
O=C(CN1CC2=CC=C(Cl)C=C2[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C1)NCC1=CC=CC(F)=C1 |&1:12|,7.14,5.36,1
O=C(CN1CC2=CC=C(Cl)C=C2[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C1)NCCC1=CC=CC(Cl)=C1 |&1:12|,7.21,5.22,1
CN(CCC1=CC=CC=C1)C(=O)CN1CC2=CC=C(Cl)C=C2[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C1 |&1:22|,6.01,5.04,1
O=C1C(C2=CC(Cl)=CC=C2)=CN=C(S)N1C1=CN=CC2=CC=CC=C12,6.86,5.04,4
O=C(NC1=C(Cl)N=CC2=CC=CC=C12)C1CCOC2=C1C=C(Cl)C=C2,,4.68,1
C=CC(=O)NC1=C(N(CC2=CC=CC(Cl)=C2)C(=O)CC2=CN=CC3=CC=CC=C23)C=CC=C1,5.16,5.18,0
N#CC1=C(NC(=O)C2CCOC3=C2C=C(Cl)C=C3)C2=CC=CC=C2C=N1,,4.06,1
C=CC(=O)NC(C(=O)NC1=CN=CC2=CC=CC=C12)C1=CC(Cl)=C(Cl)C=C1,5.5,5.16,0
O=C1[C@H]2CCCCN2C(=O)N1C1=CN=CC2=CC=CC=C12,,4.26,0
O=C1[C@@H]2CCCCN2C(=O)N1C1=CN=CC2=CC=CC=C12,4.19,4.29,0
"C[C@H]1CC[C@@H]2C(=O)N(C3=CN=CC4=CC=CC=C34)C(=O)N2C1 |o1:1,4|",4.65,4.57,0
"C[C@H]1CC[C@H]2C(=O)N(C3=CN=CC4=CC=CC=C34)C(=O)N2C1 |o1:1,4|",4.37,4.69,0
"C[C@H]1CC[C@@H]2C(=O)N(C3=CN=CC4=CC=CC=C34)C(=O)N2C1 |o1:1,4|",4.21,4.34,0
"C[C@H]1CC[C@H]2C(=O)N(C3=CN=CC4=CC=CC=C34)C(=O)N2C1 |o1:1,4|",,4.76,0
O=C1N[C@]2(C[C@@H](C3=CC=C(Cl)C=C3)C2)C(=O)N1C1=CN=CC2=CC=CC=C12,7.04,5.11,0
O=C1N[C@]2(C[C@@H](C3=CC=CC=C3)C2)C(=O)N1C1=CN=CC2=CC=CC=C12,6.87,5.02,0
"CO[C@H]1CCN2C(=O)N(C3=CN=CC4=CC=CC=C34)C(=O)[C@@H]2C1 |&1:2,21|",4.03,4.28,0
O=C(O)CN1CC2=CC=C(Cl)C=C2[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C1 |&1:13|,5.01,3.94,1
O=C(CN1CC2=CC=C(Cl)C=C2[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C1)NCC1=C(Cl)C=CC=C1Cl |&1:12|,6.75,5.75,1
COC1=CC(CNC(=O)CN2CC3=CC=C(Cl)C=C3[C@H](C(=O)NC3=CN=CC4=CC=CC=C34)C2)=CC(OC)=C1 |&1:19|,7.16,5.95,1
O=C(CN1CC2=CC=C(Cl)C=C2[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C1)NC1=CC=C2SC=NC2=C1 |&1:12|,6.93,5.26,1
COC1=CC=C(CNC(=O)CN2CC3=CC=C(Cl)C=C3[C@H](C(=O)NC3=CN=CC4=CC=CC=C34)C2)C=C1OC |&1:20|,6.94,5.72,1
O=C(CN1CC2=CC=C(Cl)C=C2[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C1)NC1=CC=CC=C1 |&1:12|,7.01,5.65,1
CC1=CC=C2NC=C(CCNC(=O)CN3CC4=CC=C(Cl)C=C4[C@H](C(=O)NC4=CN=CC5=CC=CC=C45)C3)C2=C1 |&1:23|,7.12,5.64,1
CCOC1=CC=C(CNC(=O)CN2CC3=CC=C(Cl)C=C3[C@H](C(=O)NC3=CN=CC4=CC=CC=C34)C2)C=C1 |&1:21|,6.9,5.68,1
O=C(CN1CC2=CC=C(Cl)C=C2[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C1)NCCC1=CC=C(C(F)F)C=C1 |&1:12|,7.3,5.99,1
CCOC1=CC=CC=C1CNC(=O)CN1CC2=CC=C(Cl)C=C2[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C1 |&1:23|,6.94,6.04,1
O=C(CN1CC2=CC=C(Cl)C=C2[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C1)NCCC1=CC=C(C(F)(F)F)C=C1 |&1:12|,7.15,5.8,1
CN1CCN(C2=CC=C(NC(=O)CN3CC4=CC=C(Cl)C=C4[C@H](C(=O)NC4=CN=CC5=CC=CC=C45)C3)C=C2F)CC1 |&1:22|,7.24,5.28,1
CCC1=CC=C(CNC(=O)CN2CC3=CC=C(Cl)C=C3[C@H](C(=O)NC3=CN=CC4=CC=CC=C34)C2)C=C1 |&1:20|,6.99,6.03,1
CCOC1=CC=CC(CNC(=O)CN2CC3=CC=C(Cl)C=C3[C@H](C(=O)NC3=CN=CC4=CC=CC=C34)C2)=C1 |&1:22|,7.05,6.04,1
CC1=CC=C(CNC(=O)CN2CC3=CC=C(Cl)C=C3[C@H](C(=O)NC3=CN=CC4=CC=CC=C34)C2)C=C1 |&1:19|,6.96,5.78,1
O=C(CN1CC2=CC=C(Cl)C=C2[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C1)NC(C1=CC=CC=C1)C1=CC=CC=C1 |&1:12|,7.04,6.02,1
CN1CCN(C2=CC=C(NC(=O)CN3CC4=CC=C(Cl)C=C4[C@H](C(=O)NC4=CN=CC5=CC=CC=C45)C3)C=C2)CC1 |&1:22|,6.69,5.64,1
COC1=CC=C(CNC(=O)CN2CC3=CC=C(Cl)C=C3[C@H](C(=O)NC3=CN=CC4=CC=CC=C34)C2)C=C1 |&1:20|,7.08,5.87,1
CCN1CCN(C2=CC=C(NC(=O)CN3CC4=CC=C(Cl)C=C4[C@H](C(=O)NC4=CN=CC5=CC=CC=C45)C3)C=C2)CC1 |&1:23|,7.55,5.67,1
COC1=CC=CC(CNC(=O)CN2CC3=CC=C(Cl)C=C3[C@H](C(=O)NC3=CN=CC4=CC=CC=C34)C2)=C1 |&1:21|,7.08,5.96,1
COC1=CC=CC=C1CNC(=O)CN1CC2=CC=C(Cl)C=C2[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C1 |&1:22|,6.96,5.79,1
O=C(CN1CC2=CC=C(Cl)C=C2[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C1)NCCC1=CC=C(Cl)C=C1Cl |&1:12|,6.97,5.69,1
O=C(CN1CC2=CC=C(Cl)C=C2[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C1)NCCC1=CC=C(Cl)C(Cl)=C1 |&1:12|,7.15,5.77,1
CCN1CCN(C2=CC=C(NC(=O)CN3CC4=CC=C(Cl)C=C4[C@H](C(=O)NC4=CN=CC5=CC=CC=C45)C3)C=C2F)CC1 |&1:23|,7.43,5.45,1
CC1=CC=C(CCNC(=O)CN2CC3=CC=C(Cl)C=C3[C@H](C(=O)NC3=CN=CC4=CC=CC=C34)C2)C=C1 |&1:20|,7.12,5.8,1
"CO[C@H]1CC[C@@H]2C(=O)N(C3=CN=CC4=CC=CC=C34)C(=O)N2C1 |o1:2,5|",4.22,4.23,0
"CO[C@H]1CC[C@@H]2C(=O)N(C3=CN=CC4=CC=CC=C34)C(=O)N2C1 |o1:2,5|",4.43,3.95,0
"CO[C@H]1CC[C@H]2C(=O)N(C3=CN=CC4=CC=CC=C34)C(=O)N2C1 |o1:2,5|",,4.29,0
"CO[C@H]1CCN2C(=O)N(C3=CN=CC4=CC=CC=C34)C(=O)[C@H]2C1 |o1:2,21|",,4.21,0
"CO[C@H]1CC[C@H]2C(=O)N(C3=CN=CC4=CC=CC=C34)C(=O)N2C1 |o1:2,5|",,4.22,0
"CO[C@H]1CCN2C(=O)N(C3=CN=CC4=CC=CC=C34)C(=O)[C@H]2C1 |o1:2,21|",,4.25,0
CN1CCN2C(=O)N(C3=CN=CC4=CC=CC=C34)C(=O)[C@@H]2C1,,4.2,0
O=C1[C@@H]2CN(CC3=CC=CC=C3)CCN2C(=O)N1C1=CN=CC2=CC=CC=C12,5.54,4.3,0
CS(=O)(=O)N1CCN2C(=O)N(C3=CN=CC4=CC=CC=C34)C(=O)[C@@H]2C1,,4.24,0
"C[C@H]1CCN2C(=O)N(C3=CN=CC4=CC=CC=C34)C(=O)[C@@H]2C1 |o1:1,20|",4.12,4.27,0
"C[C@H]1CCN2C(=O)N(C3=CN=CC4=CC=CC=C34)C(=O)[C@@H]2C1 |o1:1,20|",4.1,4.41,0
CCN1CCN2C(=O)N(C3=CN=CC4=CC=CC=C34)C(=O)[C@@H]2C1,,4.28,0
CNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@H]2C)C2=CC(Cl)=CC=C2C1=O,5.62,4.23,4
O=C1N[C@]2(C[C@H](C3=CC=CC=C3)C2)C(=O)N1C1=CN=CC2=CC=CC=C12,6.69,4.71,0
O=[S@](CC1=CC=CC(NC2=NC=NC3=C2C=CN3)=C1)C1=CC=CC=C1 |&1:1|,,4.94,2
"C[C@H]1CCN2C(=O)N(C3=CN=CC4=CC=CC=C34)C(=O)[C@H]2C1 |o1:1,20|",,4.52,0
"C[C@H]1CC[C@]2(CO1)NC(=O)N(C1=CN=CC3=CC=CC=C13)C2=O |&1:1,4|",4.19,4.31,0
"C[C@H]1CCN2C(=O)N(C3=CN=CC4=CC=CC=C34)C(=O)[C@H]2C1 |o1:1,20|",4.12,3.96,0
CNC(=O)CN1C[C@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)CC2(C)C)C2=C(C=CC(Cl)=C2)C1=O |o1:7|,,4.26,4
CNC(=O)CN1C[C@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)CC2(C)C)C2=C(C=CC(Cl)=C2)C1=O |o1:7|,5.18,4.13,4
O=C(CN1CC2=C(C=C(Cl)C=C2)[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C1)NC1=NC=C(C(F)(F)F)C=C1 |&1:12|,6.39,5.01,1
CC(C)(C)[C@H](NC(=O)C(F)(F)F)C(=O)N1C[C@H]2[C@@H]([C@H]1C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O)C2(C)C,8.68,7.25,2
"C[C@H]1CCOC[C@@]12NC(=O)N(C1=CN=CC3=CC=CC=C13)C2=O |&1:1,6|",,4.25,0
"C[C@H]1CCOC[C@]12NC(=O)N(C1=CN=CC3=CC=CC=C13)C2=O |&1:1,6|",,4.23,0
"C[C@H]1OCCC[C@]12NC(=O)N(C1=CN=CC3=CC=CC=C13)C2=O |&1:1,&2:6|",4.02,4.3,0
CC(=O)N1C[C@@H]2C[C@H]1[C@H]1C(=O)N(C3=CN=CC4=CC=CC=C34)C(=O)N21 |o1:8|,,4.02,0
"CNC(=O)CN1C[C@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@H]2COC)C2=CC(Cl)=CC=C2C1=O |o1:7,22|",5.73,4.36,4
CCS(=O)(=O)N1CC2(C1)C(=O)N(C1=CN=CC3=CC=CC=C13)C(=O)N2C,4.76,4.18,0
CNC(=O)CN1C[C@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2C)C2=CC(F)=CC=C2C1=O,5.39,4.3,4
CN1C(=O)N(C2=CN=CC3=CC=CC=C23)C(=O)C12CN(S(=O)(=O)C1CC1)C2,4.74,4.13,0
"CNC(=O)CN1C[C@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@H]2CC2=CC=CC=C2)C2=CC(Cl)=CC=C2C1=O |o1:7,22|",5.81,4.75,4
"CNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@H]2CC2=CC=CC=C2)C2=CC(Cl)=CC=C2C1=O |o1:7,22|",5.43,4.28,4
"CNC(=O)CN1C[C@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@H]2CO)C2=CC(Cl)=CC=C2C1=O |o1:7,22|",6.38,5.01,4
O=C1C[C@H](CC2=CC=CC=C2)CN1C1=CN=CC2=CC=CC=C12 |&1:3|,4.91,4.38,0
CNC(=O)CN1C[C@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2CC2=CC=CC=C2)C2=CC(Cl)=CC=C2C1=O,5.2,4.09,4
O=C1N[C@]2(CCOC3=CC=NC=C32)C(=O)N1C1=CN=CC2=CC=CC=C12 |&1:3|,4.27,4.27,0
NS(=O)(=O)C1=CC=C2OCC[C@]3(NC(=O)N(C4=CN=CC5=CC=CC=C45)C3=O)C2=C1 |&1:11|,4.65,4.28,0
"C[C@H]1COC[C@@]2(C1)NC(=O)N(C1=CN=CC3=CC=CC=C13)C2=O |&1:1,5|",4.24,4.28,0
"CC(=O)N1C[C@@H]2C[C@H]1[C@H]1C(=O)N(C3=CN=CC4=CC=CC=C34)C(=O)N21 |a:5,7,o1:8|",,4.12,0
C=C(CN[C@]1(C(=O)NC2=CN=CC3=CC=CC=C23)CCOC2=CC=C(Cl)C=C21)C(=O)OC(C)(C)C,,5.05,1
CN1C(=O)N(C2=CN=CC3=CC=CC=C23)C(=O)C12CN(S(=O)(=O)C1=CC=CC=C1)C2,5.12,4.55,0
CC1(C)CCN(S(C)(=O)=O)C[C@]12NC(=O)N(C1=CN=CC3=CC=CC=C13)C2=O |o1:11|,4.47,4.22,0
"C[C@H]1COC[C@]2(C1)NC(=O)N(C1=CN=CC3=CC=CC=C13)C2=O |&1:1,5|",5.21,4.85,0
NS(=O)(=O)OCC(=O)N1CCN(S(=O)(=O)C2=CSC=C2)[C@H](C(=O)NCC2=CC=CC=N2)C1 |&1:20|,4.09,3.87,2
C=C(CN(C(=O)NC1=CN=CC2=CC=CC=C12)C1=CC=CC(Cl)=C1)C(=O)O,5.49,4.54,0
"O=C1[C@H](C2=CC=C(Cl)C(Cl)=C2)C[C@H](O)CN1C1=CN=CC2=CC=CC=C12 |&1:2,&2:12|",5.47,4.31,0
O=C(CCl)N[C@H](C1=CC=CC(Cl)=C1)C1=NC=CS1 |&1:5|,,4.25,2
CNS(=O)(=O)OCC(=O)N1CCN(CC2=CC=CC(Cl)=C2)[C@H](CC(C)C)C1 |&1:21|,5.78,5.21,2
C=C(CN(C(=O)[C@H]1CCOC2=CC=C(Cl)C=C21)C1=CN=CC2=CC=CC=C12)C(=O)N1CCCCC1 |&1:6|,,4.25,1
C[C@H](NC(=O)COS(N)(=O)=O)C1=CC(Cl)=CC(C2=CC=C(S(N)(=O)=O)C=C2)=C1 |&1:1|,5.75,4.26,2
CC(C)C[C@H]1CN(C(=O)COS(N)(=O)=O)CCN1CC1=CC=CC(Cl)=C1 |&1:4|,5.17,5.08,2
CC(C)C[C@H]1CN(C(=O)COS(=O)(=O)N(C)C)CCN1CC1=CC=CC(Cl)=C1 |&1:4|,5.99,4.02,2
C=C(CN(C(=O)NC1=CN=CC2=CC=CC=C12)C1=CC=CC(Cl)=C1)C(=O)NCC,5.77,4.58,0
C=C(CN(C(=O)NC1=CN=CC2=CC=CC=C12)C1=CC=CC(Cl)=C1)C(N)=O,5.19,4.39,0
"C[C@H]1CC[C@]2(CN1S(C)(=O)=O)NC(=O)N(C1=CN=CC3=CC=CC=C13)C2=O |&1:1,4|",4.45,4.72,0
O=C1N[C@H](CC2=CC=CC=C2)C(=O)N1C1=CN=CC2=CC=CC=C12,4.5,4.87,0
"CNC(=O)CN1C[C@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@H]2CO)C2=CC(Cl)=CC=C2C1=O |o1:7,o2:22|",6.47,5.36,4
O=C1C[C@H](CC2=CC=CC=C2)C(=O)N1C1=CN=CC2=CC=CC=C12 |&1:3|,4.62,3.85,0
O=C1N[C@H](CC2CC2)C(=O)N1C1=CN=CC2=CC=CC=C12 |&1:3|,4.31,4.36,0
CNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2CC2=CC=CC=C2)C2=CC(Cl)=CC=C2C1=O,7.16,5.98,4
O=C1N[C@@H](CC2=CC=CC=C2)C(=O)N1C1=CN=CC2=CC=CC=C12,4.4,4.36,0
NC(=O)C1=CC=C2OCC[C@]3(NC(=O)N(C4=CN=CC5=CC=CC=C45)C3=O)C2=C1 |&1:10|,4.85,4.34,0
C=C(CN(C(=O)[C@H]1CCOC2=CC=C(Cl)C=C21)C1=CN=CC2=CC=CC=C12)C(=O)NC1=CC=C(Cl)C=C1 |&1:6|,5.18,4.33,1
"CC(=O)N1C[C@@]2(CC[C@H]1C)NC(=O)N(C1=CN=CC3=CC=CC=C13)C2=O |&1:5,8|",4.36,4.44,0
CN1C(=O)N(C2=CN=CC3=CC=CC=C23)C(=O)[C@@H]1CC1=CC=CC=C1,4.06,,0
"C[C@H]1CC[C@@]2(CN1S(C)(=O)=O)NC(=O)N(C1=CN=CC3=CC=CC=C13)C2=O |&1:1,4|",4.12,4.31,0
CN1N=CC2=CN=CC(NC(=O)[C@H]3CNS(=O)(=O)C4=CC=C(Cl)C=C43)=C21 |o1:12|,6.06,4.2,1
CN1N=CC2=CN=CC(NC(=O)[C@H]3CNS(=O)(=O)C4=CC=C(Cl)C=C43)=C21 |o1:12|,5.07,4.76,1
CN1C(CC2=CC=CC=C2)=NN(C2=CN=CC3=CC=CC=C23)C1=O,5.04,4.43,0
CNS(=O)(=O)OCC(=O)N[C@H](C)C1=CC(Cl)=CC(C2=CC=C(S(N)(=O)=O)C=C2)=C1 |&1:10|,5.76,4.19,2
C=C(CN(C(=O)[C@H]1CCOC2=CC=C(Cl)C=C21)C1=CN=CC2=CC=CC=C12)C(=O)NCC1=CC=CC=C1 |&1:6|,5.24,5.23,1
"CC(=O)N1C[C@]2(CC[C@H]1C)NC(=O)N(C1=CN=CC3=CC=CC=C13)C2=O |&1:5,8|",4.21,4.34,0
CNC(=O)CN1C[C@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)CC23CC3)C2=CC(Cl)=CC=C2C1=O |&1:7|,6.1,4.74,4
O=C1C[C@H](CC2CC2)CN1C1=CN=CC2=CC=CC=C12 |&1:3|,,3.58,0
C=C(CN(C(=O)[C@H]1CCOC2=CC=C(Cl)C=C21)C1=CN=CC2=CC=CC=C12)C(=O)N(C)C1=CC=CC=C1 |&1:6|,5.55,3.94,1
CN1C=NC(CN2C(=O)N/C(=N\C3=CC4=CN(C)N=C4C=C3Cl)N(CC3=CC(F)=C(F)C=C3F)C2=O)=N1,8.43,6.46,2
CCCCNC(=O)C1=CN=C([C@H](NC(=O)CCl)C2=CC=CC(Cl)=C2)S1 |&1:11|,5.25,4.32,2
CN1C(=O)N(C2=CN=CC3=CC=CC=C23)C(=O)[C@H]1CC1=CC=CC=C1,4.06,4.46,0
O=C1C[C@H](CC2=CC=CC=C2Cl)CN1C1=CN=CC2=CC=CC=C12 |&1:3|,5.14,4.32,0
COC1=CC=CC(CNC(=O)CN2C[C@]3(C(=O)N(C4=CN=CC5=CC=CC=C45)C[C@@H]3C)C3=CC=CC=C3C2=O)=C1,4.59,4.3,4
O=C1N[C@]2(C[C@@H](C3=C(F)C=CC=C3F)C2)C(=O)N1C1=CN=CC2=CC=CC=C12,7.06,5.4,0
"O=C1N[C@@]2(CC[C@H](C3=CC=CC=C3)OC2)C(=O)N1C1=CN=CC2=CC=CC=C12 |&1:3,6|",5.2,4.34,0
"O=C1N[C@]2(CC[C@H](C3=CC=CC=C3)OC2)C(=O)N1C1=CN=CC2=CC=CC=C12 |&1:3,6|",5.69,4.67,0
COC1=CC=CC(CNC(=O)CN2C[C@@]3(C(=O)N(C4=CN=CC5=CC=CC=C45)C[C@@H]3C)C3=CC=CC=C3C2=O)=C1,6.31,5.87,4
O=C1C[C@H](CC2=CC=CC=C2)NN1C1=CN=CC2=CC=CC=C12 |&1:3|,5.16,4.31,0
O=C(NCC1=CC=CC=N1)[C@H]1CN(C(=O)COS(=O)(=O)NC2=CC=CC=C2)CCN1S(=O)(=O)C1=CSC=C1 |&1:10|,4.75,4.18,2
CNS(=O)(=O)OCC(=O)N1CCN(S(=O)(=O)C2=CSC=C2)[C@H](C(=O)NCC2=CC=CC=N2)C1 |&1:21|,4.79,,2
CC1=CN=CC(CC(=O)NC2=CN=CC3=CC=CC=C23)=C1,4.99,3.8,0
O=C(C[C@H]1CCCC(F)(F)C1)NC1=CN=CC2=CC=CC=C12 |&1:3|,5.23,4.74,0
CC1=CC=C(CC(=O)NC2=CN=CC3=CC=CC=C23)C(F)=C1F,,5.06,0
O=C(CC1=C(Cl)C(Cl)=CC=C1)NC1=CN=CC2=CC=CC=C12,,5.03,0
COC1=CC=C(C)C=C1CC(=O)NC1=CN=CC2=CC=CC=C12,5.25,4.38,0
CC1=CC=CC(CC(=O)NC2=CN=CC3=CC=CC=C23)=C1Cl,,4.38,0
CC1=CC(F)=CC(CC(=O)NC2=CN=CC3=CC=CC=C23)=C1,5.79,5.33,0
O=C1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC=CC=C2N1 |&1:3|,4.65,3.78,0
O=C(CC1=C(F)C=C(F)C(F)=C1)NC1=CN=CC2=CC=CC=C12,5.69,5.35,0
O=C(CC1=C(F)C(F)=CC(F)=C1F)NC1=CN=CC2=CC=CC=C12,,5.01,0
CC1=CC=C(F)C(CC(=O)NC2=CN=CC3=CC=CC=C23)=C1,5.29,5.36,0
C[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@@]12CN(CC(=O)NCC1=CC=NN1C)C(=O)C1=CC=CC=C12,5.82,5.02,4
C[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@@]12CN(CC(=O)NCC1=NN(C)C=C1)C(=O)C1=CC=CC=C12,5.59,5.12,4
O=C(CC1=CC(F)=CN=C1)NC1=CN=CC2=CC=CC=C12,5.33,4.18,0
COC1=CC=CC(CNC(=O)CN2C[C@@]3(C(=O)N(C4=CN=CC5=CC=CC=C45)C[C@@H]3C)C3=CC(Cl)=CC=C3C2=O)=C1,7.16,6.6,4
CC1=CC=C(F)C=C1C(F)(F)C(=O)NC1=CN=CC2=CC=CC=C12,5.0,3.84,0
O=C(NC1=CN=CC2=CC=CC=C12)C(F)(F)C1=CC=C(F)C(F)=C1,5.16,3.88,0
CC(F)(F)[C@H](C(=O)NC1=CN=CC2=CC=CC=C12)C1=CC=CC=C1 |&1:4|,4.91,3.95,0
O=C(NC1=CN=CC2=CC=CC=C12)C(F)(F)C1=CC(F)=CC(F)=C1,5.53,4.16,0
O=C(CC1=CC(F)=CC=C1F)NC1=CN=CC2=CC=CC=C12,5.69,4.58,0
O=C(CC1=C(F)C(F)=CC=C1)NC1=CN=CC2=CC=CC=C12,4.66,4.95,0
O=C(CC1=CC=CC=C1F)NC1=CN=CC2=CC=CC=C12,4.44,1.3,0
CC[C@H](C(=O)NC1=CN=CC2=CC=CC=C12)C1=CC=CC=C1 |&1:2|,5.03,3.95,0
CC1=CC(F)=CC=C1C(F)(F)C(=O)NC1=CN=CC2=CC=CC=C12,4.56,2.43,0
"C[C@H]1COC2=CC=CC=C2[C@H]1C(=O)NC1=CN=CC2=CC=CC=C12 |&1:1,&2:10|",4.71,4.77,0
CC1=CC=C(F)C=C1CC(=O)NC1=CN=CC2=CC=CC=C12,5.73,4.44,0
